name,source,gender,wikidata,type
Augustinplatz,wikidata,+,Q12218328;Q446684,way
Bloch-Bauer-Promenade,wikidata,+,Q90205;Q1280247,way
Proschkogasse,wikidata,+,Q87313;Q59653275,way
Tausigplatz,wikidata,+,Q90438;Q90466,way
Ada-Christen-Gasse,wikidata,F,Q85002,way
Ada-Lovelace-Straße,wikidata,F,Q7259,way
Adelheid-Popp-Gasse,wikidata,F,Q34391,way
Agnes-Primocic-Gasse,wikidata,F,Q394620,way
Albert-Schweitzer-Gasse,wikidata,F,Q94775815,way
Alma-Seidler-Weg,wikidata,F,Q88849,way
Amalie-Seidel-Weg,wikidata,F,Q90320,way
Anna-Müller-Weg,wikidata,F,Q562636,way
Antonie-Alt-Gasse,wikidata,F,Q59653133,way
Beatrix-Kempf-Gasse,wikidata,F,Q24084706,way
Beatrixbrücke,wikidata,F,Q237663,way
Beatrixgasse,wikidata,F,Q237663,way
Betty-Roose-Weg,wikidata,F,Q850400,way
Brändströmgasse,wikidata,F,Q469673,way
Burjanplatz,wikidata,F,Q78679,way
Ceija-Stojka-Platz,wikidata,F,Q546337,way
Christine-Nöstlinger-Gasse,wikidata,F,Q93652,way
Christine-Touaillon-Straße,wikidata,F,Q1083826,way
Christinengasse,wikidata,F,Q167439,way
Cissy-Kraner-Platz,wikidata,F,Q1093251,way
Clara-Zetkin-Gasse,wikidata,F,Q75823,way
Dorothea-Neff-Weg,wikidata,F,Q85953,way
Edith-Piaf-Straße,wikidata,F,Q1631,way
Ehrenhaft-Steindler-Platz,wikidata,F,Q59653188,way
Elfriede-Gerstl-Steg,wikidata,F,Q89786,way
Elisabeth-Bergner-Weg,wikidata,F,Q93711,way
Elisabeth-Maxwald-Platz,wikidata,F,Q114162691,way
Elisabethallee,wikidata,F,Q150782,way
Ella-Lingens-Straße,wikidata,F,Q94547,way
Ellen-Key-Gasse,wikidata,F,Q238443,way
Ertlgasse,wikidata,F,Q94622152,way
Eugenie-Schwarzwald-Weg,wikidata,F,Q79173,way
Eva-Maria-Mazzucco-Platz,wikidata,F,Q19361241,relation+way
Frenkel-Brunswik-Gasse,wikidata,F,Q87963,way
Friesgasse,wikidata,F,Q22083797,way
Gertrude-Wondrack-Platz,wikidata,F,Q1515799,relation+way
Gisela-Legath-Gasse,wikidata,F,Q1527252,way
Greta-Keller-Gasse,wikidata,F,Q85177,way
Gutheil-Schoder-Gasse,wikidata,F,Q77982,way
Halban-Kurz-Straße,wikidata,F,Q78897,way
Hannah-Arendt-Platz,wikidata,F,Q60025,relation+way
Hannelore-Burger-Brücke,wikidata,F,Q94775815,way
Hedy-Blum-Weg,wikidata,F,Q20996667,way
Hedy-Lamarr-Weg,wikidata,F,Q49034,relation+way
Helene-Bauer-Platz,wikidata,F,Q57540106,way
Helene-Lieser-Platz,wikidata,F,Q28872051,way
Helene-Potetz-Weg,wikidata,F,Q1602012,way
Helene-Thimig-Weg,wikidata,F,Q88896,way
Helly-Möslein-Weg,wikidata,F,Q114950,way
Henriettenplatz,wikidata,F,Q1606214,way
Herma-Bauma-Gasse,wikidata,F,Q260805,way
Hermi-Hirsch-Weg,wikidata,F,Q111568950,way
Hlawkagasse,wikidata,F,Q1303640,way
Hohenfelsplatz,wikidata,F,Q88930,way
Ida-Margulies-Platz,wikidata,F,Q59653277,way
Ida-Pfeiffer-Weg,wikidata,F,Q78873,way
Ilse-Arlt-Straße,wikidata,F,Q1659081,way
Jane-Jacobs-Steg,wikidata,F,Q234335,way
Janis-Joplin-Promenade,wikidata,F,Q1514,way
Jenny-Lind-Gasse,wikidata,F,Q231345,way
Jenny-Steiner-Weg,wikidata,F,Q73730320,way
Johanna-Dohnal-Platz,wikidata,F,Q112494,way
Josefine-Wessely-Weg,wikidata,F,Q390428,way
Kenyongasse,wikidata,F,Q111568928,way
Kinskygasse,wikidata,F,Q55866675,way
